chr17	143046	1333810	9	1000	+	83257441	chrE1	61081816	15337720	16309277	22573282
chr17	178144	178241	11506	1000	+	83257441	chrE1	61081816	15365612	15365709	6788
chr17	183544	183939	1491	1000	+	83257441	chrE1	61081816	15369739	15370128	23036
chr17	244768	245065	6525	1000	-	83257441	chrE1	61081816	59963676	59963939	9443
chr17	244814	245224	2559	1000	+	83257441	chrE1	61081816	49219462	49220074	16329
chr17	244816	244929	24662	1000	+	83257441	chrE1	61081816	58032674	58032793	3746
chr17	244816	245020	7971	1000	+	83257441	chrE1	61081816	49219746	49219957	8435
chr17	244816	245285	2604	1000	+	83257441	chrE1	61081816	58032736	58033308	16118
chr17	244816	248517	1663	1000	+	83257441	chrE1	61081816	58032581	58036529	21210
chr17	244816	245491	1058	1000	+	83257441	chrE1	61081816	49219104	49220355	28519
chr17	244817	245036	7629	1000	+	83257441	chrE1	61081816	58033083	58033312	8636
chr17	244817	245384	1979	1000	+	83257441	chrE1	61081816	1122240	1122779	18960
chr17	244817	245484	1606	1000	+	83257441	chrE1	61081816	3668272	3668924	21687
chr17	244822	245491	2244	1000	+	83257441	chrE1	61081816	1278480	1279189	17613
chr17	244826	245375	2973	1000	+	83257441	chrE1	61081816	3749956	3750504	14897
chr17	244839	245554	1936	1000	+	83257441	chrE1	61081816	1122240	1122820	19241
chr17	244847	245275	2483	1000	+	83257441	chrE1	61081816	49219395	49219953	16614
chr17	244858	245054	10340	1000	+	83257441	chrE1	61081816	1122243	1122425	7259
chr17	244882	245119	8577	1000	+	83257441	chrE1	61081816	1122385	1122637	8076
chr17	244913	245326	2877	1000	+	83257441	chrE1	61081816	1122318	1122779	15212
chr17	244972	245312	4094	1000	-	83257441	chrE1	61081816	59963606	59963913	12430
chr17	245008	245417	3512	1000	+	83257441	chrE1	61081816	58032884	58033312	13538
chr17	245021	245221	9971	1000	+	83257441	chrE1	61081816	1122520	1122733	7417
chr17	245043	245246	7072	1000	+	83257441	chrE1	61081816	49219645	49219898	9012
chr17	245048	245391	5114	1000	+	83257441	chrE1	61081816	1122426	1122737	10948
chr17	245098	245200	22302	1000	+	83257441	chrE1	61081816	1122566	1122658	4104
chr17	245102	245310	9278	1000	+	83257441	chrE1	61081816	1039564	1039760	7730
chr17	245156	245493	3133	1000	+	83257441	chrE1	61081816	49219502	49219865	14386
chr17	245275	245490	5835	1000	+	83257441	chrE1	61081816	49219955	49220194	10091
chr17	306831	307459	6857	1000	-	83257441	chrE1	61081816	57638909	57639635	9167
chr17	307022	307299	24220	1000	-	83257441	chrE1	61081816	57639077	57639363	3811
chr17	307033	307449	7132	1000	+	83257441	chrE1	61081816	3441763	3442237	8963
chr17	307033	307474	5957	1000	+	83257441	chrE1	61081816	3442195	3442630	9975
chr17	307033	307449	5427	1000	+	83257441	chrE1	61081816	3442259	3442688	10513
chr17	307036	307459	11318	1000	-	83257441	chrE1	61081816	57639206	57639731	6859
chr17	307047	307315	20927	1000	-	83257441	chrE1	61081816	57639656	57639923	4328
chr17	307048	307198	31892	1000	-	83257441	chrE1	61081816	57639434	57639581	2602
chr17	307048	307299	20295	1000	-	83257441	chrE1	61081816	57639498	57639747	4435
chr17	307048	307459	14627	1000	-	83257441	chrE1	61081816	57639466	57639875	5743
chr17	307049	307299	24384	1000	-	83257441	chrE1	61081816	57639595	57639843	3785
chr17	307049	307459	17624	1000	-	83257441	chrE1	61081816	57639227	57639811	4979
chr17	307049	307395	15482	1000	-	83257441	chrE1	61081816	57639531	57639891	5500
chr17	307050	307453	6414	1000	+	83257441	chrE1	61081816	3442191	3442593	9542
chr17	307050	307452	6160	1000	+	83257441	chrE1	61081816	3442223	3442624	9787
chr17	307053	307187	32050	1000	-	83257441	chrE1	61081816	57639279	57639411	2575
chr17	307053	307246	26161	1000	-	83257441	chrE1	61081816	57639679	57639874	3512
chr17	307053	307299	23890	1000	-	83257441	chrE1	61081816	57639215	57639459	3861
chr17	307053	307299	23107	1000	-	83257441	chrE1	61081816	57639135	57639379	3981
chr17	307053	307315	22621	1000	-	83257441	chrE1	61081816	57639183	57639443	4058
chr17	307053	307459	15894	1000	-	83257441	chrE1	61081816	57639375	57639779	5385
chr17	307053	307459	14165	1000	-	83257441	chrE1	61081816	57639247	57639683	5878
chr17	307063	307459	18977	1000	-	83257441	chrE1	61081816	57639239	57639651	4686
chr17	307067	307401	8124	1000	+	83257441	chrE1	61081816	3442351	3442685	8350
chr17	307067	307474	6213	1000	+	83257441	chrE1	61081816	3441727	3442134	9734
chr17	307067	307453	5795	1000	+	83257441	chrE1	61081816	3441743	3442193	10131
chr17	307067	307453	5714	1000	+	83257441	chrE1	61081816	3441711	3442097	10207
chr17	307071	307395	17453	1000	-	83257441	chrE1	61081816	57639535	57639859	5013
chr17	307086	307246	28431	1000	-	83257441	chrE1	61081816	57639454	57639613	3125
chr17	307087	307235	31068	1000	-	83257441	chrE1	61081816	57639135	57639283	2724
chr17	307092	307315	26771	1000	-	83257441	chrE1	61081816	57639571	57639795	3409
chr17	307099	307299	29796	1000	-	83257441	chrE1	61081816	57639131	57639331	2909
chr17	307099	307299	28786	1000	-	83257441	chrE1	61081816	57639611	57639811	3068
chr17	307115	307299	29724	1000	-	83257441	chrE1	61081816	57639131	57639315	2919
chr17	307140	307395	26911	1000	-	83257441	chrE1	61081816	57639571	57639827	3383
chr17	307198	307355	32178	1000	-	83257441	chrE1	61081816	57639454	57639610	2555
chr17	307198	307357	30605	1000	-	83257441	chrE1	61081816	57639310	57639484	2788
chr17	307198	307459	26961	1000	-	83257441	chrE1	61081816	57639582	57639843	3373
chr17	307210	307395	31503	1000	-	83257441	chrE1	61081816	57639418	57639603	2661
chr17	307210	307427	30962	1000	-	83257441	chrE1	61081816	57639514	57639827	2736
chr17	307246	307459	31300	1000	-	83257441	chrE1	61081816	57639614	57639827	2691
chr17	307246	307438	29378	1000	-	83257441	chrE1	61081816	57639886	57640077	2977
chr17	319806	320315	2505	1000	+	83257441	chrE1	61081816	2771657	2772111	16512
chr17	319813	320253	2746	1000	+	83257441	chrE1	61081816	2771523	2772035	15560
